text,diggCount,replyCommentTotal,createTimeISO,uniqueId,videoWebUrl,uid,cid,avatarThumbnail,trust
Hồi nhỏ Mn ai cũng bảo giống c này,5,1,2025-09-08T04:05:33.000Z,athowcutii,https://www.tiktok.com/@abalony.abalony.bn/video/7547516080542174472,7097542591965627394,7547564619368547090,https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/b520efb9375509a8f99571567ec3b7f2~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=0ef132ca&x-expires=1768554000&x-signature=dPAyGZDdEGtxUG%2BMTu%2FgajRMC9w%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5,
em là trễ chx cj,1,2,2025-09-08T04:05:54.000Z,dti8tdiydyidiydiyd,https://www.tiktok.com/@abalony.abalony.bn/video/7547516080542174472,7341964286766760978,7547564689443554056,https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/3a2c6e493a76011e785faec456730665~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=2aea4759&x-expires=1768554000&x-signature=FtcK1F24DMpIM0ZJKpm9FRbq8Ws%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5,
tr oi tuổi thơ của toii 🥰,37,1,2025-09-08T04:24:05.000Z,khanhan_49,https://www.tiktok.com/@abalony.abalony.bn/video/7547516080542174472,6658622245978357761,7547569387990237959,https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/0763726575f4b02670d04b680b3f207e~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=43339363&x-expires=1768554000&x-signature=4XienQ24Pb6gS7vdNm4MNhc66tg%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5,
giờ có em r nên nó cứ coi bài bống bống bang bang nghe riết nhảy theo lun,1,0,2025-09-13T18:27:01.000Z,jh030207.220506,https://www.tiktok.com/@abalony.abalony.bn/video/7547516080542174472,6953325334453142530,7549642032340943623,https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/83b346148dde0aca2b9955c55513e7ae~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=70d49618&x-expires=1768554000&x-signature=p7M1ms7luTwS1QRmX9oZOCqLQPY%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5,
Hồi đó em gọi chị là chị hát bài tết,1,0,2025-09-15T15:55:34.000Z,nguyn.bo.sam8,https://www.tiktok.com/@abalony.abalony.bn/video/7547516080542174472,7320616847421359106,7550345170177295105,https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/17d084142421885dc8f659f889fa9ecc~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=c7b24dc6&x-expires=1768554000&x-signature=ljwIfXM6hpc4ArRaahfFeEBNOBc%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5,
Ai ik học về r thì tim,25,1,2025-09-08T05:26:09.000Z,thuytrang25872,https://www.tiktok.com/@abalony.abalony.bn/video/7547516080542174472,7430273477347329040,7547585350203818769,https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/ecd8838cfff67daafd52e2092cc0054c~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=a7433863&x-expires=1768554000&x-signature=yMV1SBpALCEyb90swJ413uyqaY8%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5,
"nhớ ngày nào còn bé tí, mà nay lớn như vậy rồi",467,1,2025-09-08T03:53:28.000Z,sallythienthao_0409,https://www.tiktok.com/@abalony.abalony.bn/video/7547516080542174472,7054206391728686107,7547561493375271687,https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/105c3936622e6257390485fe1404a917~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=733c04e1&x-expires=1768554000&x-signature=A86Fzt4qZXoWTyDsnd47XfAn8yM%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5,
bào đi du hc hả hogg bt nên hỏi aa🤗,1,0,2025-09-14T08:48:27.000Z,khanhuien3,https://www.tiktok.com/@abalony.abalony.bn/video/7547516080542174472,7509711041057047569,7549864014898053905,https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/959835c45eefec81c15e9ee420ae7504~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=09adf65a&x-expires=1768554000&x-signature=9OMy6i6XhsD0cxOMJdodXfkVQy4%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5,
Ỏ video cũm xinh vậy bào ngư ới🥰🥰🥰,2,2,2025-09-08T02:52:41.000Z,hieutongentertainment,https://www.tiktok.com/@abalony.abalony.bn/video/7547516080542174472,6578680186359021570,7547545827440395016,https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/2873da5ff270855d075f20e936d98009~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=807d3e99&x-expires=1768554000&x-signature=lx5cLwBn6AnYj9J5ESB5TfGvoIA%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5,
"hồi đó e tui coi bà này tôi ms bt á
thời tui bt (bé ) Xuân Mai 😆",1,0,2025-09-08T11:46:41.000Z,tientibi,https://www.tiktok.com/@abalony.abalony.bn/video/7547516080542174472,7040416336484434946,7547683433415672583,https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/f11e0f1601dd48225f1936467f3b1e18~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=9ca7dc5c&x-expires=1768554000&x-signature=A%2B7LEInO9721TXO85OwtjFCOSfE%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5,
Hồi đó e gọi cj là bé 🥰,1,0,2025-09-11T04:26:00.000Z,bao.hanncte548,https://www.tiktok.com/@abalony.abalony.bn/video/7547516080542174472,7364789223507870726,7548683113821930258,https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/d479c9049f44670c7c1ad92a214d1883~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=85cfb200&x-expires=1768554000&x-signature=r8IbWz5FWrU8lUTncsts9PWodNM%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5,
70% là con mắt😭,1,1,2025-09-08T05:18:21.000Z,chilamcutii,https://www.tiktok.com/@abalony.abalony.bn/video/7547516080542174472,7378465504325698561,7547583369572778760,https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/585194ed4024534f01aab661545b6565~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=7dd0c179&x-expires=1768554000&x-signature=4I41RyZIEyfRoVORJQ3Te0bCSA8%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5,
Ngày mai qua Phúc Long uống boba 🥰,1,1,2025-09-08T21:25:35.000Z,sweeetandcreamy,https://www.tiktok.com/@abalony.abalony.bn/video/7547516080542174472,6982664021182956549,7547832532386988813,https://p16-common-sign.tiktokcdn-us.com/tos-useast5-avt-0068-tx/695c3faf0c5358a68540537a96f023c9~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=428120c4&x-expires=1768554000&x-signature=3EjIGDJ8ArxMfoFWjdbOignre30%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5,
Em cmt trễ ròiii😭😭😭,1,1,2025-09-08T01:05:20.000Z,_duonqsucaamthuu._,https://www.tiktok.com/@abalony.abalony.bn/video/7547516080542174472,7466736698107397121,7547518144819413780,https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/214aba15cde87a735aad9f2e1461bf26~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=0b83b7ec&x-expires=1768554000&x-signature=2d7hzbtsNYKIi%2F%2BtfemH4qZKbLY%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5,
bả cutee á😁,1,0,2025-09-08T04:40:05.000Z,quyennbin4413,https://www.tiktok.com/@abalony.abalony.bn/video/7547516080542174472,7512805474904835079,7547573462988538625,https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/a971d558600eb04cc7c4a30d75cdbd4d~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=dbc4af84&x-expires=1768554000&x-signature=Nup9J2v3jnF1qSV07mASGzxV69U%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5,
khong sao!!,1,0,2025-09-20T06:58:07.000Z,k3nnyyn,https://www.tiktok.com/@abalony.abalony.bn/video/7547516080542174472,14659670,7552061850771358477,https://p16-common-sign.tiktokcdn-us.com/tos-useast5-avt-0068-tx/2681e65763cca9af38b6a9d9d2287950~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=b090d171&x-expires=1768554000&x-signature=70qO36EwUWq8xyCgndvC7wPzscg%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5,
Thấy hoài luôn mà không nhớ tên nèeeee😭,1,0,2025-09-09T02:44:35.000Z,vohothienthanh,https://www.tiktok.com/@abalony.abalony.bn/video/7547516080542174472,6700445792253445122,7547914751407145741,https://p16-common-sign.tiktokcdn-us.com/tos-useast5-avt-0068-tx/666557ae7d5acb4a4b1dfe3fbd792976~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=70d51c04&x-expires=1768554000&x-signature=zzVm0ke7OSXsKdSsja10Laka6AM%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5,
nhớ bà này trong chương trình Ba ơi mình đi đâu thế (đúng ko ta),1,0,2025-09-08T04:42:35.000Z,dnbc_07,https://www.tiktok.com/@abalony.abalony.bn/video/7547516080542174472,7263080083988251656,7547574145849066256,https://p19-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/692ff3018b7b4cbf20c87140c83507f3~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=608d1faa&x-expires=1768554000&x-signature=Cw6dPkV9r2jX0wu6cen97%2BAT%2Fog%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5,
chị làm ở đay vậy a,2,1,2025-09-29T04:32:47.000Z,thaonguyen...cutte,https://www.tiktok.com/@abalony.abalony.bn/video/7547516080542174472,7389640835161768965,7555364391295910674,https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/b8092ae8ca197984926fe8d47950eccc~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=399cdcc6&x-expires=1768554000&x-signature=A1VciKFYSfqki%2B034nKql2C%2F9p0%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5,
cái bàn ổng ngồi ☺️,4721,24,2024-07-17T11:13:55.000Z,fifai_and_chuoi,https://www.tiktok.com/@tuankhongcan.official2/video/7392530065843653896,7350301299458147334,7392561398406054664,https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/36cf627fcc61552c062bd680ca60e432~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=9b88b3bd&x-expires=1768554000&x-signature=LLrV2wsT9nqaL216I9rVH15%2B%2BIg%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5,
xem vd thấy bth mà nghe bà lou lê kể lại rén 😭,3252,88,2024-07-18T01:45:04.000Z,donald_wut,https://www.tiktok.com/@tuankhongcan.official2/video/7392530065843653896,7277095615731991553,7392785827266741013,https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/405216e1fada1d5b815b9ed5acd9c63b~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=1a46bad1&x-expires=1768554000&x-signature=PrNetsmPD1CuX9TzImj1gLjkWjU%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5,
ai muốn biết vụ trà sữa phúc long ko ib tui😭,141,41,2024-07-17T11:19:06.000Z,tai...volleyball01,https://www.tiktok.com/@tuankhongcan.official2/video/7392530065843653896,7043687855738209282,7392562691523724053,https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/b32cbf776edfa6c35da318231f1381b0~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=08742640&x-expires=1768554000&x-signature=exJqagT7GhvHRNnK0q2zFoAsCtM%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5,
"dám đi lun, ghê thiệt",789,18,2024-07-18T03:32:19.000Z,_knj.liu,https://www.tiktok.com/@tuankhongcan.official2/video/7392530065843653896,7375095414036743184,7392813503730795271,https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/52a51306c912b7e202b9b550253bba16~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=ea33511b&x-expires=1768554000&x-signature=9TrB8c3QbvZsaX8o4IGX6M8Ab2M%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5,
trà sữa Phúc Long mà t tưởng Phúc Long Bạc Liêu 🙂,1,0,2024-07-18T11:52:45.000Z,valeyyyyy012,https://www.tiktok.com/@tuankhongcan.official2/video/7392530065843653896,7166094980761863194,7392942479987589906,https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/657576010adb46a3bcbf278353c363ab~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=dd8ac123&x-expires=1768554000&x-signature=jwB%2BV6hyYKT5cc%2BiPBn8O3o9kLo%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5,
coi ko sợ cho lắm mà nghe bà Lou Lê kể nghe sợ vãi,936,38,2024-07-18T04:08:22.000Z,haa01350,https://www.tiktok.com/@tuankhongcan.official2/video/7392530065843653896,6691211503359984641,7392822743265690376,https://p19-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/5d9001ed7e833a36ee7da6c5b8c7fb4e~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=3f6ccb4d&x-expires=1768554000&x-signature=d95jsXQrt2i1XO5honVYuuXs4bo%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5,
ai cần ib,7,9,2024-07-17T12:19:08.000Z,tanhdoma09,https://www.tiktok.com/@tuankhongcan.official2/video/7392530065843653896,7286392874542416904,7392578192471835410,https://p19-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/0fde9a7e627beaff5c899055fc0f1cc0~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=47997b40&x-expires=1768554000&x-signature=%2FaQcmWjEu83AmeOb2jBtbAaY%2F7M%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5,
"Hồng Trần Trên Đôi Cánh Tay
Hại Đời Em Trong Phúc Long
Từ thơ ấy còn Ngủ Luôn
Lòng Người Anh Đâu Có Hay
Một Ngày Khi Vô Giết Em
Từ Người Dương Thành Người âm",0,0,2024-08-21T04:24:13.000Z,messi201575,https://www.tiktok.com/@tuankhongcan.official2/video/7392530065843653896,7260795876322821126,7405443809062568712,https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/3cc54084c1b169ce4a385bc5e8ed069f~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=17ed1ae7&x-expires=1768554000&x-signature=Q1W%2FD9FaVJpmfJ4%2FuoElkghoaxc%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5,
này đâu phải q12,1,2,2024-07-17T15:51:03.000Z,hw.dwj,https://www.tiktok.com/@tuankhongcan.official2/video/7392530065843653896,67805679021,7392632794747765512,https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/b5d0dfe2d1a4b9bf6cd4c96702b666cd~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=c83e4fe0&x-expires=1768554000&x-signature=ZKLz1XHyJbrmFPNYL0K05Sn9Vms%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5,
BÀ LOU LÊ KỂ PHÚC LONG GÂY SỐT,1,0,2024-07-23T08:21:12.000Z,nhi.huynhngocthi,https://www.tiktok.com/@tuankhongcan.official2/video/7392530065843653896,7310822953490170888,7394743337636659988,https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/651ab702d3555b2882b6a9c89803f9f4~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=9039270c&x-expires=1768554000&x-signature=xKvQrqi0PXhLbiS4gm%2B%2BQmy5BJM%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5,
Tối qua e ik chơi rồi ik qua quán phúc Long,0,0,2024-07-23T05:22:55.000Z,lyn.lyn024,https://www.tiktok.com/@tuankhongcan.official2/video/7392530065843653896,7347725127436649473,7394697441998291720,https://p19-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/c002a10d5a4067b5a5e35c28253a5979~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=4a7294e4&x-expires=1768554000&x-signature=my6P0T9BfAcBSOBS%2FyOOd89TzyA%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5,
sao tui lou lê kể chuyện phúc long mà kh có ta,193,15,2024-07-20T04:35:13.000Z,vthbaongn06,https://www.tiktok.com/@tuankhongcan.official2/video/7392530065843653896,7253685480180925445,7393571802754892560,https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/ba5b36b47861af8f19262cb59220329b~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=7035273a&x-expires=1768554000&x-signature=12MVRDCj0yjd606RP0muF1w2dLU%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5,
ở chỗ nào vậy ah,5,3,2024-07-17T09:15:14.000Z,naolencombonhadoiten,https://www.tiktok.com/@tuankhongcan.official2/video/7392530065843653896,7287949422330741768,7392530817265713927,https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/37b48863af475bd84f6684fc348e6916~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=6b54648f&x-expires=1768554000&x-signature=WY1wgnYZBGLLhfcnR387Aybmqoc%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5,
dụ dì zi-)),2,8,2024-07-18T04:57:20.000Z,ngkhungchoififai,https://www.tiktok.com/@tuankhongcan.official2/video/7392530065843653896,7018763823718171674,7392835427537158919,https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/19c111344ed8739e6506e63ee917a934~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=06bd6c9d&x-expires=1768554000&x-signature=Kif7uL0ikEwBJJvOqHhfZOaUMeQ%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5,
Ra phúc Long gặp t,0,0,2024-08-13T09:44:38.000Z,kit.nguyn1961,https://www.tiktok.com/@tuankhongcan.official2/video/7392530065843653896,7391141514451256336,7402557702381830920,https://p19-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/fc27fb5a986186d436f7b2ad65d6a76d~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=76d1441f&x-expires=1768554000&x-signature=LRdSWHp1ll04mi5EobmYRqGG%2B1c%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5,
mới coi mà ám ánh luôn á,4,4,2024-07-18T04:58:09.000Z,be.heo.cuteeee,https://www.tiktok.com/@tuankhongcan.official2/video/7392530065843653896,7328991956654130181,7392835644202074888,https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/69f66309fb6a80a0f5c52b1eeb359815~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=7b496fd1&x-expires=1768554000&x-signature=6IAdtihotRl7kkEjsdultS4w6Kg%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5,
anh đến thấy j k,1,3,2024-07-17T10:40:15.000Z,noi.wiibuladayx,https://www.tiktok.com/@tuankhongcan.official2/video/7392530065843653896,7136099572434502682,7392552656076309266,https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/19b1c5a8001384f353708a38606a740e~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=d6f07951&x-expires=1768554000&x-signature=Vx9N%2BMy5%2B0LCZmcZaAHw%2BN6oqFQ%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5,
"fl,ib t t gửi",23,19,2024-07-18T04:32:36.000Z,camonlatks,https://www.tiktok.com/@tuankhongcan.official2/video/7392530065843653896,7308728259913876485,7392829058955920135,https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/766fd5b86c219cbda57feb48629c2700~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=3717f635&x-expires=1768554000&x-signature=VnpsRk%2Bfegk5UFs6Sy3yZ8dr7gU%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5,
